19 |2025-04-26 17:46:37.2589 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Fetching employee data. SearchTerm: '', CurrentPage: 1
24 |2025-04-26 17:46:42.5868 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Successfully fetched 9 employees.
22 |2025-04-26 17:46:55.5581 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Fetching employee data. SearchTerm: 'ben', CurrentPage: 1
24 |2025-04-26 17:46:57.1963 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Successfully fetched 1 employees.
22 |2025-04-26 17:47:01.9017 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Fetching employee data. SearchTerm: '', CurrentPage: 1
24 |2025-04-26 17:47:02.0527 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Successfully fetched 9 employees.
18 |2025-04-26 17:47:26.4864 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Fetching employees. SearchTerm: '', CurrentPage: 1
18 |2025-04-26 17:47:26.5065 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Successfully fetched 9 employees.
17 |2025-04-26 17:47:38.2244 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Fetching employees. SearchTerm: '', CurrentPage: 1
21 |2025-04-26 17:47:38.2471 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Successfully fetched 9 employees.
15 |2025-04-26 17:57:58.8352 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnGetAsync |Loading department list for employee creation.
9 |2025-04-26 17:58:02.8749 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnGetAsync |Loading department list for employee creation.
19 |2025-04-26 17:58:51.2910 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnPostAsync |Uploading profile image for employee: peakpx (10).jpg
19 |2025-04-26 17:58:53.4242 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnPostAsync |Employee Mickey added successfully.
10 |2025-04-26 17:58:53.6117 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Fetching employees. SearchTerm: '', CurrentPage: 1
5 |2025-04-26 17:58:54.5276 |INFO |MyApp.Web.Pages.Employees.Index |MyApp.Web.Pages.Employees.IndexModel.OnGetAsync |Successfully fetched 10 employees.
19 |2025-04-26 17:59:04.6030 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnGetAsync |Loading department list for employee creation.
22 |2025-04-26 17:59:04.9282 |INFO |MyApp.Web.Pages.Employees.Create |MyApp.Web.Pages.Employees.CreateModel.OnGetAsync |Loading department list for employee creation.
24 |2025-04-26 17:59:07.2854 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Fetching employee data. SearchTerm: '', CurrentPage: 1
24 |2025-04-26 17:59:07.3346 |INFO |MyApp.Web.Pages.Employees.Data |MyApp.Web.Pages.Employees.DataModel.OnGetAsync |Successfully fetched 10 employees.
5 |2025-04-26 17:59:12.4674 |INFO |MyApp.Web.Pages.Departments.Create |MyApp.Web.Pages.Departments.CreateModel.OnGet |Accessed Department Create Page.
19 |2025-04-26 17:59:15.0429 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Fetching departments. SearchTerm: '', CurrentPage: 1
22 |2025-04-26 17:59:15.1368 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Successfully fetched 6 departments. TotalRecords: 6, TotalPages: 1.
23 |2025-04-26 17:59:19.4312 |INFO |MyApp.Web.Pages.Departments.Create |MyApp.Web.Pages.Departments.CreateModel.OnGet |Accessed Department Create Page.
7 |2025-04-26 18:02:08.1948 |INFO |MyApp.Web.Pages.Departments.Create |MyApp.Web.Pages.Departments.CreateModel.OnGet |Accessed Department Create Page.
9 |2025-04-26 18:02:22.3467 |INFO |MyApp.Web.Pages.Departments.Create |MyApp.Web.Pages.Departments.CreateModel.OnPostAsync |Attempting to create a new department. Name: Marketing
5 |2025-04-26 18:02:27.2932 |INFO |MyApp.Web.Pages.Departments.Create |MyApp.Web.Pages.Departments.CreateModel.OnPostAsync |Department created successfully. Name: Marketing
14 |2025-04-26 18:02:27.3908 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Fetching departments. SearchTerm: '', CurrentPage: 1
7 |2025-04-26 18:02:28.6796 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Successfully fetched 7 departments. TotalRecords: 7, TotalPages: 1.
14 |2025-04-26 18:02:36.3058 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnGetAsync |Fetching department details for ID: 16
14 |2025-04-26 18:02:37.1269 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnGetAsync |Successfully loaded department for editing. ID: 16
5 |2025-04-26 18:02:51.0877 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnPostAsync |Attempting to update department. ID: 16
5 |2025-04-26 18:02:51.5000 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnPostAsync |Successfully updated department. ID: 16
18 |2025-04-26 18:02:51.6179 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Fetching departments. SearchTerm: '', CurrentPage: 1
5 |2025-04-26 18:02:51.6887 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Successfully fetched 7 departments. TotalRecords: 7, TotalPages: 1.
5 |2025-04-26 18:02:55.5349 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnGetAsync |Fetching department details for ID: 16
5 |2025-04-26 18:02:55.5512 |INFO |MyApp.Web.Pages.Departments.Edit |MyApp.Web.Pages.Departments.EditModel.OnGetAsync |Successfully loaded department for editing. ID: 16
9 |2025-04-26 18:03:21.2186 |INFO |MyApp.Web.Pages.Departments.Index |MyApp.Web.Pages.Departments.IndexModel.OnGetAsync |Fetching departments. SearchTerm: '', CurrentPage: 1
